origin,modern
"Thy Clarence he is dead that stabbed my Edward, And the beholders of this frantic play, Th' adulterate Hastings, Rivers, Vaughan, Grey, Untimely smothered in their dusky graves.","Your Clarence, who stabbed my Edward, is also dead."
"Richard yet lives, hell’s black intelligencer, Only reserved their factor to buy souls And send them thither.","Richard, a fiendish spy for hell itself, still lives, but only long enough to buy souls to send below."
"Cancel his bond of life, dear God I pray, That I may live to say, “The dog is dead.”","I pray that God ends his life before I die, so I can say, “The dog is dead!”"
"O, thou didst prophesy the time would come That I should wish for thee to help me curse That bottled spider, that foul bunch-backed toad!","Oh, you prophesied that the time would come when I would want your help in cursing that humpbacked spider, that hideous toad!"
"I called thee then “vain flourish of my fortune.” I called thee then poor shadow, “painted queen,” The presentation of but what I was, The flattering index of a direful pageant, One heaved a-high, to be hurled down below, A mother only mocked with two fair babes, A dream of what thou wast, a garish flag To be the aim of every dangerous shot, A sign of dignity, a breath, a bubble, A queen in jest, only to fill the scene.","Back then, I called you “a poor, imitation queen,” a badly reproduced copy of what I was, a pretty prologue for the tragedy that was about to follow, a woman who was lifted high only to be hurled down to hell, a mother only teased with two beautiful children, who would soon die."
Where is thy husband now?,"And I was right, because where’s your husband now?"
Where be thy brothers?,Your brothers?
Where are thy two sons?,Your two sons?
"Thus hath the course of justice whirled about And left thee but a very prey to time, Having no more but thought of what thou wast To torture thee the more, being what thou art.","Now you have only the memory of what you were, which tortures you when you consider what you’ve become."
"Thou didst usurp my place, and dost thou not Usurp the just proportion of my sorrow?",You once stole my position; now you get to have the grief that goes with it.
These English woes will make me smile in France.,Your English sorrows will make me smile in France.
"O, thou well-skilled in curses, stay awhile, And teach me how to curse mine enemies.","You who are so skilled in cursing, stay awhile and teach me how to curse my enemies."
"Forbear to sleep the nights, and fast the days; Compare dead happiness with living woe; Think that thy babes were sweeter than they were, And he that slew them fouler than he is.","Remember your children as being sweeter than they actually were, and think of the man who killed them as worse than he is."
Bettering thy loss makes the bad causer worse.,Making your loss greater makes the person who caused it worse.
Revolving this will teach thee how to curse.,"Think like this all day, and you’ll learn how to curse."
My words are dull.,My words are dull.
"O, quicken them with thine!",Enliven them with yours!
Thy woes will make them sharp and pierce like mine.,Your misery will make them sharp and piercing like mine.
Why should calamity be full of words?,But give words a chance.
"If so, then be not tongue-tied.","If that’s true, then don’t be tongue-tied."
"Go with me, And in the breath of bitter words let’s smother My damnèd son that thy two sweet sons smothered.","Come with me, and let’s smother my fiendish son—who smothered your two sweet sons—in bitter words."
Who intercepts my expedition?,Who’s blocking the way?
"O, she that might have intercepted thee, By strangling thee in her accursèd womb, From all the slaughters, wretch, that thou hast done.",The woman who might have blocked you from all the murders you’ve committed by strangling you in her cursed womb.
"Hid’st thou that forehead with a golden crown Where should be branded, if that right were right, The slaughter of the prince that owed that crown And the dire death of my poor sons and brothers?","Are you hiding your forehead with a golden crown, when, if there was any justice in this world, it should be branded with the murders you committed—your slaughter of the prince who held that crown, and of my sons and my brothers?"
"Tell me, thou villain-slave, where are my children?","Tell me, you villainous lowlife, where are my children?"
"Where is gentle Rivers, Vaughan, Grey?","Where are the noble Hastings, Rivers, Vaughan, Grey?"
Where is kind Hastings?,Where is kind Hastings?
"Strike alarum, drums!","Play, trumpets!"
Let not the heavens hear these telltale women Rail on the Lord’s anointed.,Don’t let the heavens hear these chattery women abuse the Lord’s anointed king.
"Strike, I say!","Play, I say!"
"Either be patient and entreat me fair, Or with the clamorous report of war Thus will I drown your exclamations.",Either be calm and polite or I’ll drown you out with the music of war.
Art thou my son?,Are you my son?
"Ay, I thank God, my father, and yourself.","Yes, I thank God, my father, and yourself."
Then patiently hear my impatience.,Then patiently listen to my impatience.
"Madam, I have a touch of your condition, Which cannot brook the accent of reproof.","Madam, I’m a bit like you in that I can’t tolerate a tone of disapproval."
"O, let me speak!","Oh, let me speak!"
"Do then, but I’ll not hear.","Go ahead, but I won’t listen."
I will be mild and gentle in my words.,I’ll be gentle and mild.
"And brief, good mother, for I am in haste.","And brief, good mother—I’m in a hurry."
Art thou so hasty?,Are you that impatient?
"I have stayed for thee, God knows, in torment and in agony.","God knows I waited for you in anguish, pain, and agony when I gave birth to you."
And came I not at last to comfort you?,And didn’t I finally arrive to comfort you?
"What comfortable hour canst thou name, That ever graced me in thy company?","So, what hour of comfort have I ever had in your company?"
"Faith, none but Humfrey Hower, that called your Grace To breakfast once, forth of my company.",Name one.
"I prithee, hear me speak.",You’re too bitter.
You speak too bitterly.,Just listen this once.
"Hear me a word, For I shall never speak to thee again.",I’ll never speak to you again.
So.,So be it.
"Though far more cause, yet much less spirit to curse Abides in me.","Though I have far more reason, I don’t have as much energy to curse you."
I say amen to her.,But I say amen to everything she said.
"Stay, madam.","Wait, madam."
I must talk a word with you.,I need to speak a word with you.
I have no more sons of the royal blood For thee to slaughter.,I have no more royal sons for you to murder.
"You have a daughter called Elizabeth, Virtuous and fair, royal and gracious.","You have a daughter named Elizabeth, who is virtuous and beautiful, aristocratic and full of grace."
And must she die for this?,And does she have to die for this?
"O, let her live, And I’ll corrupt her manners, stain her beauty, Slander myself as false to Edward’s bed, Throw over her the veil of infamy.","Oh, let her live, and I’ll ruin her manners and her beauty."
"So she may live unscarred of bleeding slaughter, I will confess she was not Edward’s daughter.","So that she may live, I’ll say I cheated on Edward and that she is not really his child."
Wrong not her birth.,Don’t wrong her birth.
She is a royal princess.,She has royal blood.
"To save her life, I’ll say she is not so.","To save her life, I’ll say she doesn’t."
And only in that safety died her brothers.,"Yes, as safe as her brothers' lives were."
"No, to their lives ill friends were contrary.",Bad friends were.
My babes were destined to a fairer death If grace had blessed thee with a fairer life.,My children would have enjoyed a better death if God had blessed you with a purer life.
"Whose hand soever launched their tender hearts, Thy head, all indirectly, gave direction.","Whichever hand literally stabbed their tender hearts, you’re the one who gave the order."
"No doubt the murd'rous knife was dull and blunt Till it was whetted on thy stone-hard heart, To revel in the entrails of my lambs.",No doubt the murderous knife was blunt till it was sharpened on your stony heart—you reveled in my lambs' bloody guts.
"But that still use of grief makes wild grief tame, My tongue should to thy ears not name my boys Till that my nails were anchored in thine eyes, And I, in such a desp'rate bay of death, Like a poor bark of sails and tackling reft, Rush all to pieces on thy rocky bosom.","But constant expression of wild grief will only make it tame, so I’m not going to say any more about my boys until I’ve gouged your eyes out with my bare hands."
"Madam, so thrive I in my enterprise And dangerous success of bloody wars As I intend more good to you and yours Than ever you or yours were by me harmed!","Madam, if I do as well as I think I’m going to do in these dangerous, violent wars, you and your relatives will have more good at my hands than you’ve ever had bad!"
"What good is covered with the face of heaven, To be discovered, that can do me good?",What good does heaven have in store that can do me any good now?
"The advancement of your children, gentle lady.","The advancement of your children, noble lady."
"Up to some scaffold, there to lose their heads.","Advancement to some scaffold, to lose their heads."
"Unto the dignity and height of fortune, The high imperial type of this earth’s glory.","No, advancement to the dignity and height of honor, to a high, imperial kind of glory."
And thou unfit for any place but hell.,And you’re not suited for any place except hell.
"Yes, one place else, if you will hear me name it.","Yes, and one other place, if you’ll only let me name it."
Some dungeon.,Some dungeon.
Your bedchamber.,Your bedroom.
Ill rest betide the chamber where thou liest!,There is no rest to be had in any bedroom where you are!
"So will it, madam till I lie with you.","Exactly, madam, until I sleep with you."
"Be brief, lest that the process of thy kindness Last longer telling than thy kindness' date.","Well, explain—but do it fast so that your puny store of kindness isn’t used up by talking about it."
Then know that from my soul I love thy daughter.,Then know that from my soul I love your daughter.
My daughter’s mother thinks it with her soul.,I believe it.
What do you think?,What do you believe?
That thou dost love my daughter from thy soul.,That you love my daughter to spite your soul.
Be not so hasty to confound my meaning.,Don’t be so quick to twist my meaning.
Even he that makes her queen.,"The one who makes her queen, of course."
Who else should be?,Who else should it be?
"What, thou?","What, you?"
How think you of it?,"What do you think, madam?"
How canst thou woo her?,How would you woo her?
"Madam, with all my heart.","And  Madam, with all my heart."
"You mock me, madam.","Come, come, you’re making fun of me."
This is not the way To win your daughter.,This is not the way to win your daughter.
"There is no other way, Unless thou couldst put on some other shape And not be Richard, that hath done all this.","There isn’t any other way, unless you took on another form and became someone else."
Say that I did all this for love of her.,But suppose I did all the things you named out of love for her.
"Nay, then indeed she cannot choose but hate thee, Having bought love with such a bloody spoil.","Then she has no choice but to hate you, as you purchased her love with murder."
Look what is done cannot be now amended.,Whatever has already been done can’t be undone now.
"Men shall deal unadvisedly sometimes, Which after-hours give leisure to repent.","Men act imprudently sometimes, then realize their mistakes when they have time to think about them."
"If I did take the kingdom from your sons, To make amends I’ll give it to your daughter.","If I took the kingdom from your sons, I’ll give it to your daughter to make up for it."
"If I have killed the issue of your womb, To quicken your increase I will beget Mine issue of your blood upon your daughter.","If I have killed your children, I will have children with your daughter."
A grandam’s name is little less in love Than is the doting title of a mother.,A grandmother is loved hardly less than a mother is.
"Your children were vexation to your youth, But mine shall be a comfort to your age.","Your children caused you trouble in your youth, but mine will bring you comfort in your old age."
I cannot make you what amends I would; Therefore accept such kindness as I can.,"I can’t make up for everything that I’d like to, so accept such kindness as I can offer."
"What, we have many goodly days to see!","Indeed, we have many good days to look forward to!"
"Go then, my mother; to thy daughter go.","Go, then, mother, to your daughter."
What were I best to say?,What should I say to her?
Her father’s brother Would be her lord?,That her father’s brother wants to be her husband?
Or shall I say her uncle?,Or should I say it’s her uncle?
Or he that slew her brothers and her uncles?,Or should I describe you as the one who killed her brothers and her uncles?
"Under what title shall I woo for thee, That God, the law, my honor and her love Can make seem pleasing to her tender years?","How can I describe you that will make you appeal to the young woman and will also agree with God, the law, my honor, and her feelings?"
Infer fair England’s peace by this alliance.,Claim fair England’s peace depends on this alliance.
Which she shall purchase with still-lasting war.,She will purchase that peace with an everlasting war.
"Tell her the king, that may command, entreats— That, at her hands, which the king’s King forbids.","Tell her that the king, who has the power to command people, asks her."
Say she shall be a high and mighty queen.,He asks her to do what God  Say she will be a high and mighty queen.
"To vail the title, as her mother doth.","Only to watch that title become worthless, as her mother has."
Say I will love her everlastingly.,Say I will love her everlastingly.
But how long shall that title “ever” last?,But how long will “ever” last?
Sweetly in force unto her fair life’s end.,Until her beautiful life’s end.
But how long fairly shall her sweet life last?,But how long will her beautiful life last?
As long as heaven and nature lengthens it.,As long as heaven and nature extend it.
As long as hell and Richard likes of it.,As long as hell and Richard want it.
"Say I, her sovereign, am her subject low.","Tell her that I, her king, am her lowly subject."
"But she, your subject, loathes such sovereignty.","But she, your subject, hates such a king."
Be eloquent in my behalf to her.,Be eloquent on my behalf.
An honest tale speeds best being plainly told.,An honest tale succeeds best when it is told simply.
Then plainly to her tell my loving tale.,Then tell her my loving story in simple terms.
Plain and not honest is too harsh a style.,You can’t tell a story simply when it’s a lie.
Your reasons are too shallow and too quick.,Your answers are too shallow and too hasty.
"O no, my reasons are too deep and dead— Too deep and dead, poor infants, in their graves.","Oh no, my reasons are deep and as permanent as death."
"Harp not on that string, madam; that is past.","Don’t harp on that point, madam—it’s past."
Harp on it still shall I till heart-strings break.,I will harp on it till my heartstrings break.
"Now by my George, my Garter, and my crown— Profaned, dishonored, and the third usurped.","Now, by St. George, my knighthood, and my crown— The first you profaned, the second you dishonored, and the third you stole."
"I swear—      By nothing, for this is no oath.","I swear— By nothing, because this is no oath."
"Then, by myself—      Thyself is self-misused.","St. George loses his holiness once  Then, by myself— You’ve misused yourself."
"Now, by the world—      'Tis full of thy foul wrongs.","Now, by the world— It’s full of your ugly wrongdoings."
My father’s death—      Thy life hath it dishonored.,By my father’s death— Your life has dishonored his death.
"If thou hadst feared to break an oath by Him, Th' imperial metal circling now thy head Had graced the tender temples of my child, And both the princes had been breathing here, Which now, two tender bedfellows for dust, Thy broken faith hath made the prey for worms.","If you had been afraid to break an oath with him, the crown you are currently wearing would have graced the head of my child, and both princes would still be alive, not preyed on by worms."
What canst thou swear by now?,What can you swear by now?
The time to come.,By the future.
"The children live whose fathers thou hast slaughtered, Ungoverned youth, to wail it in their age; The parents live whose children thou hast butchered, Old barren plants, to wail it with their age.",There are parents living whose children you have butchered; they are now old withered plants who will moan over their losses as they grow old.
"Swear not by time to come, for that thou hast Misused ere used, by times ill-used o'erpast.","Don’t swear by the future, because you’ve ruined it before it has even arrived."
"As I intend to prosper and repent, So thrive I in my dangerous affairs Of hostile arms!",May I only do well in these dangerous battles if my intention to repent and prosper is sincere!
"Myself myself confound, Heaven and fortune bar me happy hours, Day, yield me not thy light, nor night thy rest, Be opposite all planets of good luck To my proceedings if, with dear heart’s love, Immaculate devotion, holy thoughts, I tender not thy beauteous princely daughter.","Let me destroy myself, let heaven and destiny deprive me of happy hours, let day remain dark and night sleepless, and let me have nothing but terrible luck if I do not love with a pure heart, clean devotion, and holy thoughts your beautiful royal daughter."
In her consists my happiness and thine.,My happiness and yours lie in her.
"Urge the necessity and state of times, And be not peevish found in great designs.",It 
Shall I be tempted of the devil thus?,Shall I be tempted by the devil?
"Ay, if the devil tempt you to do good.","Yes, if the devil tempts you to do good."
"Ay, if your self’s remembrance wrong yourself.","Yes, if your memories do you no good."
Yet thou didst kill my children.,Yet you killed my children.
"But in your daughter’s womb I bury them, Where, in that nest of spicery, they will breed Selves of themselves, to your recomforture.",But in your daughter’s womb I will bury them.
Shall I go win my daughter to thy will?,Should I go convince my daughter to marry you?
And be a happy mother by the deed.,And be a happy mother by doing so.
I go.,I’m going.
"Write to me very shortly, And you shall understand from me her mind.",Write to me very soon and I’ll let you know what she thinks.
"To our shores Throng many doubtful hollow-hearted friends, Unarmed and unresolved to beat them back.",Many former friends of ours have gathered to meet the fleet and aren’t willing to beat it back.
"Tis thought that Richmond is their admiral; And there they hull, expecting but the aid Of Buckingham to welcome them ashore.",Word is that Richmond is the navy’s admiral.
"Some light-foot friend post to the duke of Norfolk— Ratcliffe, thyself, or Catesby.","Someone who can ride fast, go to the duke of  Here, my good lord."
"Catesby, fly to the duke.","Catesby, fly to the duke."
"I will, my lord, with all convenient haste.","I will my lord, as fast as I can."
"Ratcliffe, come hither.","Ratcliffe, come here."
Post to Salisbury.,Ride to Salisbury.
"O true, good Catesby.","Oh, right, good Catesby."
Bid him levy straight The greatest strength and power that he can make And meet me suddenly at Salisbury.,Tell him to gather together the greatest army he can muster in a hurry and meet me right away at Salisbury.
I go.,I’m off.
"What, may it please you, shall I do at Salisbury?",What would you like me to do at Salisbury?
"Why, what wouldst thou do there before I go?","Why, what is there to do before I get there?"
Your Highness told me I should post before.,Your Highness just told me that I should ride there before you.
My mind is changed.,I changed my mind.
"Stanley, what news with you?","Stanley, what news do you have?"
"None good, my liege, to please you with the hearing, Nor none so bad but well may be reported.","Nothing that you want to hear, my lord, but nothing so bad that I can’t mention it."
"Hoyday, a riddle!","Well, how nice, a riddle!"
Neither good nor bad.,Neither good nor bad.
What need’st thou run so many mile about When thou mayst tell thy tale the nearest way?,Why do you go around in circles when you could get to the point?
"Once more, what news?","Once again, what’s the news?"
Richmond is on the seas.,Richmond is sailing on the sea.
"There let him sink, and be the seas on him!",Let him sink there so the sea will cover him!
"White-livered runagate, what doth he there?","Lily-livered coward, what’s he doing there?"
"Well, as you guess?","Well, what do you guess?"
"Stirred up by Dorset, Buckingham, and Morton, He makes for England, here to claim the crown.","That, stirred up by Dorset, Buckingham, and Morton, he’s coming to England to claim the crown."
"It is my day, my life.","They are my daylight, my life."
"Black night o'ershade thy day, and death thy life.","Then I hope night shadows your day, and death takes your life!"
"Curse not thyself, fair creature; thou art both.",Don’t damn yourself.
"I would I were, to be revenged on thee.","I wish I were, so I could deprive you of both day and life."
His better doth not breathe upon the earth.,There is no better one on earth.
Is the chair empty?,Is the throne empty?
Is the sword unswayed?,Is the army without a leader?
"Is the king dead, the empire unpossessed?","Is the king dead, the empire dispossessed?"
What heir of York is there alive but we?,What heir of the York family is there alive other than myself?
And who is England’s king but great York’s heir?,And who is England’s king but an heir of the great York?
"Then tell me, what makes he upon the seas?","Therefore, tell me, what is he doing at sea?"
"Where is thy power, then, to beat him back?","Where is your army, then, to beat him back?"
Where be thy tenants and thy followers?,Where are your tenants and your followers?
"Are they not now upon the western shore, Safe-conducting the rebels from their ships?",Aren’t they at this very moment on the western shore helping the rebels land safely from their ships?
Cold friends to me.,Then they’re cold friends to me.
What do they in the north When they should serve their sovereign in the west?,What are they doing in the north when they should be in the west serving their king?
"They have not been commanded, mighty king.","They haven’t been commanded to go to the west, mighty king."
"Pleaseth your Majesty to give me leave, I’ll muster up my friends and meet your Grace Where and what time your Majesty shall please.","If your Majesty would like, I’ll muster up my friends and meet you wherever and whenever you like."
"Most mighty sovereign, You have no cause to hold my friendship doubtful.","Most mighty sovereign, you have no reason to doubt my friendship."
I never was nor never will be false.,"I was never disloyal, and I never will be."
"Go then and muster men, but leave behind Your son George Stanley.","Then go gather your men, but leave behind your son, George Stanley."
"My gracious sovereign, now in Devonshire, As I by friends am well advertisèd, Sir Edward Courtney and the haughty prelate, Bishop of Exeter, his elder brother, With many more confederates are in arms.","My noble king, my friends have informed me that Sir Edward Courtney and his brother, the haughty Bishop of Exeter, are now in  My king, the Guildfords in  My lord, the duke of Buckingham’s army— Enough, you "
"In Kent, my liege, the Guilfords are in arms, And every hour more competitors Flock to the rebels, and their power grows strong.",The news I have to tell your majesty is that Buckingham’s army has dispersed from sudden floods and heavy rainfall.
"My lord, the army of great Buckingham— Out on you, owls!",Buckingham himself has wandered away alone to who knows where.
Nothing but songs of death.,I beg your pardon.
But this good comfort bring I to your Highness: The Breton navy is dispersed by tempest.,"Yes, your Highness."
"March on, march on, since we are up in arms, If not to fight with foreign enemies, Yet to beat down these rebels here at home.","Even if we don’t fight foreign enemies, we’ll beat down these rebels at home."
"While we reason here, A royal battle might be won and lost.","While we’re talking here, a royal battle could be won and lost."
Someone take order Buckingham be brought To Salisbury.,Someone deliver the order that Buckingham be brought to Salisbury.
The rest march on with me.,"Everyone else, march on with me."
"But, tell me, where is princely Richmond now?","But, tell me, where is the noble Richmond now?"
"At Pembroke, or at Ha'rfordwest in Wales.","At Pembroke, or at Harfordwest in Wales."
"Sir Walter Herbert, a renownèd soldier; Sir Gilbert Talbot, Sir William Stanley, Oxford, redoubted Pembroke, Sir James Blunt, And Rice ap Thomas, with a valiant crew, And many other of great name and worth; And towards London they do bend their power, If by the way they be not fought withal.","Sir Walter Herbert, a renowned soldier; Sir Gilbert Talbot; Sir William Stanley; Oxford; the highly feared Pembroke; Sir James Blunt; Rice ap Thomas, with a valiant crew; and many other famous and powerful noblemen."
"Now is the winter of our discontent Made glorious summer by this son of York, And all the clouds that loured upon our house In the deep bosom of the ocean buried.",Now we wear the wreaths of victory on our heads.
"Grim-visaged war hath smoothed his wrinkled front; And now, instead of mounting barbèd steeds To fright the souls of fearful adversaries, He capers nimbly in a lady’s chamber To the lascivious pleasing of a lute.","I’m left with nothing to do in this weak, idle peacetime, unless I want to look at my lumpy shadow in the sun and sing about "
Will not King Richard let me speak with him?,Won’t King Richard let me speak with him?
"No, my good lord.","No, my good lord."
Therefore be patient.,So be calm.
"Hastings and Edward’s children, Grey and Rivers, Holy King Henry and thy fair son Edward, Vaughan, and all that have miscarrièd By underhand, corrupted, foul injustice, If that your moody, discontented souls Do through the clouds behold this present hour, Even for revenge mock my destruction.— This is All Souls' Day, fellow, is it not?","Hastings and Edward’s children, Rivers and Grey, holy King Henry and your fine son Edward, Vaughan, and all who have died from underhanded, corrupt, fiendish injustice, if your angry souls are witnessing this moment through the clouds, enjoy the revenge—laugh at my ruin!"
It is.,"This is  It is, my lord."
"Why, then All Souls' Day is my body’s doomsday.","Why, then, it’s my body’s doomsday."
"This is the day which, in King Edward’s time, I wished might fall on me when I was found False to his children and his wife’s allies.",Today I’m going to get what I said I wished would happen to me if I was ever false to King Edward’s children or his wife’s allies.
This is the day wherein I wished to fall By the false faith of him who most I trusted.,This is the day I’m going to get what I wished for when I wished that the person I most trusted would betray me.
"This, this All Souls' Day to my fearful soul Is the determined respite of my wrongs.","This, this All-Souls' day, is my just desserts."
That high All-seer which I dallied with Hath turned my feignèd prayer on my head And given in earnest what I begged in jest.,"I tried to play games with God, and he turned my fake prayer on my head, giving me for real what I’d asked for as a joke."
Thus doth he force the swords of wicked men To turn their own points in their masters' bosoms.,This is how God forces wicked men to turn their swords against themselves.
"Wrong hath but wrong, and blame the due of blame.","I have done wrong, so I will suffer wrong."
I doubt not but his friends will turn to us.,I suspect his friends will join us.
He hath no friends but who are friends for fear.,He has no friends except those who are too afraid to defy him.
Which in his dearest need will fly from him.,"In his greatest need, even they will desert him."
All for our vantage.,All to our advantage.
"Then, in God’s name, march.","So, in God’s name, let’s march."
"True hope is swift, and flies with swallow’s wings.",Hope with good cause is swift; it flies as fast as a swallow.
"Kings it makes gods, and meaner creatures kings.",It turns kings into gods and men of lower rank into kings.
My heart is ten times lighter than my looks.,My heart is ten times lighter than my looks.
"My Lord of Norfolk— Here, most gracious liege.","My Lord of Norfolk— Here, most gracious king."
"Norfolk, we must have knocks, ha, must we not?","Norfolk, we’re going to have a few blows, right?"
"We must both give and take, my loving lord.","We’ve got to give them and take them, my lord."
Up with my tent!—Here will I lie tonight.,I’ll lie here tonight.
But where tomorrow?,But where will I lie tomorrow?
"Well, all’s one for that.","Well, it doesn’t matter."
Six or seven thousand is their utmost power.,"Six or seven thousand, at most."
"Why, our battalia trebles that account.","Why, our troops amount to three times that."
"Besides, the king’s name is a tower of strength Which they upon the adverse party want.","Besides, the king’s name is a tower of strength; the opposition doesn’t have that advantage."
"Let’s lack no discipline, make no delay, For, lords, tomorrow is a busy day.","Let’s be disciplined and not delay, because tomorrow is a busy day."
"My Lord of Oxford, you, Sir William Brandon, And you, Sir Walter Herbert, stay with me.","My Lord of Oxford, you, Sir William Brandon, and you, Sir Walter Herbert, are going to stay with me."
"The earl of Pembroke keeps his regiment— Good Captain Blunt, bear my goodnight to him, And by the second hour in the morning Desire the earl to see me in my tent.","Good Captain Blunt, tell the earl goodnight from me, and tell him that by two in the morning I would like him to visit my tent."
"Unless I have mista'en his colors much, Which well I am assured I have not done, His regiment lies half a mile, at least, South from the mighty power of the king.","Unless I’ve mistaken his battle flags, which I’m sure I haven’t, his regiment lies at least half a mile south of the king’s mighty army."
"If without peril it be possible, Sweet Blunt, make some good means to speak with him, And give him from me this most needful note.","If it’s possible to do this without putting yourself in danger, dear Captain Blunt, say goodnight to him from me and give him this important note."
"Upon my life, my lord, I’ll undertake it.","Upon my life, my lord, I’ll do it."
He lives that loves thee better than he could.,There is a man who loves you better than your husband could.
Name him.,Name him.
Plantagenet.,Plantagenet.
"Why, that was he.","Yes, that’s my husband’s name."
"The selfsame name, but one of better nature.","Someone else has the same name, but he’s a better man."
Where is he?,Where is this man?
Here.,Here.
Why dost thou spit at me?,Why do you spit at me?
Would it were mortal poison for thy sake.,If only I could spit poison.
Never came poison from so sweet a place.,Poison never came from such a sweet place.
Never hung poison on a fouler toad.,Poison never landed on such an ugly toad.
Out of my sight!,Get out of my sight!
Thou dost infect mine eyes.,You’re poisoning my eyes.
"Thine eyes, sweet lady, have infected mine.","Your beautiful eyes, sweet lady, have infected mine with love."
Would they were basilisks to strike thee dead.,I wish my eyes were 
"Good night, good Captain Blunt.","Good night, dear Captain Blunt."
"Come, gentlemen, Let us consult upon tomorrow’s business Into my tent.","Come, gentlemen, let’s discuss tomorrow’s action in my tent."
The dew is raw and cold.,The night air is too raw and cold for us to stay outdoors.
What is “t o”clock?,What time is it?
"It’s suppertime, my lord.","It’s dinnertime, my lord."
It’s nine o'clock.,It’s nine o'clock.
I will not sup tonight.,I’m not going to eat dinner tonight.
Give me some ink and paper.,Give me some ink and paper.
"What, is my beaver easier than it was?",Is the visor of my helmet working better now?
And all my armor laid into my tent?,And has my armor been put in my tent?
"Good Norfolk, hie thee to thy charge.","My good man Norfolk, hurry to your post."
"I go, my lord.","I’m off, my lord."
"Stir with the lark tomorrow, gentle Norfolk.",Get up early tomorrow—at the sound of the lark—noble Norfolk.
"I warrant you, my lord.","I will, my lord."
Catesby.,Catesby.
My lord.,"Yes, my lord?"
My lord.,"Yes, my lord?"
Sawst thou the melancholy Lord Northumberland?,Did you see the gloomy Lord Northumberland?
"Thomas the earl of Surrey and himself, Much about cockshut time, from troop to troop Went through the army cheering up the soldiers.","Thomas, the earl of Surrey, and he were moving from troop to troop around twilight cheering up the soldiers."
"So, I am satisfied.","Good, I’m satisfied."
Set it down.,Set it down.
Is ink and paper ready?,Is my ink and paper ready?
"It is, my lord.","It is, my lord."
"Ratcliffe, about the mid of night come to my tent And help to arm me.","Ratcliffe, around midnight come to my tent and help me put on my armor."
"Leave me, I say.","Now leave me alone, as I said."
Fortune and victory sit on thy helm!,Let fortune and victory be yours!
"All comfort that the dark night can afford Be to thy person, noble father-in-law.","I wish you all the comfort that such a dark night as this can offer, noble father-in-law."
"Tell me, how fares our loving mother?","Tell me, how is my mother?"
"I, by attorney, bless thee from thy mother, Who prays continually for Richmond’s good.",Your mother sends her blessings.
"In brief, for so the season bids us be, Prepare thy battle early in the morning, And put thy fortune to the arbitrament Of bloody strokes and mortal-staring war.","To be brief—as the occasion requires—prepare to fight early in the morning, when your future will be decided."
"I, as I may—that which I would I cannot,— With best advantage will deceive the time, And aid thee in this doubtful shock of arms.","I can’t do everything I want to, but I’ll help you as well as I can."
"But on thy side I may not be too forward, Lest, being seen, thy brother, tender George, Be executed in his father’s sight.","But I can’t be too obvious about being on your side without risking the life of your stepbrother, young George."
Farewell.,Farewell.
"The leisure and the fearful time Cuts off the ceremonious vows of love And ample interchange of sweet discourse, Which so-long-sundered friends should dwell upon.",The lack of time and the risk I’m under will have to keep us from bonding and catching up on each other’s news the way we usually would after not seeing each other for so long.
God give us leisure for these rites of love!,I hope we have the time some day!
"Once more, adieu.","Again, goodbye."
"Be valiant, and speed well.",Be brave and do well!
"Once more, good night, kind lords and gentlemen.","Again, good night, kind lords and gentlemen."
"O Thou, whose captain I account myself, Look on my forces with a gracious eye.","Oh God, whose side I think I’m fighting on, look kindly on my forces."
"Make us thy ministers of chastisement, That we may praise thee in the victory!","Make us your agents of revenge, so we can praise you when we’re victorious!"
"To thee I do commend my watchful soul, Ere I let fall the windows of mine eyes.","Before I fall asleep, I entrust my soul to you."
"Sleeping and waking, O, defend me still!","Defend me, God, both when I’m asleep and when I’m awake.      "
"Think upon Vaughan, and with guilty fear Let fall thy lance.",I’m sweating and trembling with fear.
"Despair, and die!",Myself?
Edward’s unhappy sons do bid thee flourish.,"Yes, I am."
Think on Lord Hastings.,Then run away.
Despair and die!,"What, from myself?"
Thy adversary’s wife doth pray for thee.,Why?
The last was I that felt thy tyranny.,Did I do anything good to myself?
"O, in the battle think on Buckingham, And die in terror of thy guiltiness.","Oh, no."
"Dream on, dream on, of bloody deeds and death.",I am a villain.
"But cheer thy heart, and be thou not dismayed.","Fool, do not flatter yourself."
Give me another horse!,Give me another horse!
Bind up my wounds!,Bandage my wounds!
"Have mercy, Jesu!—Soft, I did but dream.","Have mercy, Jesus!—Wait, I was only dreaming."
"O coward conscience, how dost thou afflict me!","Oh cowardly conscience, how you’re torturing me!"
What do I fear?,But what am I afraid of?
Myself?,Myself?
There’s none else by.,There’s no one else here.
"Richard loves Richard; that is, I and I.","Richard loves Richard, that is, there’s just me and myself here."
Is there a murderer here?,Is there a murderer here?
No.,No.
"Yes, I am.","Yes, I am."
Then fly!,Then run away.
"What, from myself?","What, from myself?"
"Alack, I love myself.","Unfortunately, I love myself."
Wherefore?,Why?
For any good That I myself have done unto myself?,Did I do anything good to myself?
"O, no!","Oh, no."
"Alas, I rather hate myself For hateful deeds committed by myself.","Alas, I hate myself instead, because of the hateful deeds I’ve committed."
I am a villain.,I am a villain.
"Fool, of thyself speak well.","Fool, speak well of yourself."
"Fool, do not flatter.","Fool, do not flatter yourself."
My lord.,My lord.
"Zounds, who is there?","Damn it, who’s there?"
